scenario,htgt,model,seed,source,calib,calib_tag,feat,feat_select,n_features,auroc,auprc,brier,nll,ece,tau,file,f1_at_tau,balacc_at_tau
hospital,hospital,lgbm,42,tuned,none,none,none,none,92,0.9051985998274146,0.6473742866911155,0.0525772798893306,0.186370327954018,0.0095596371523136,0.5,hospital_lgbm_none_none_seed42.csv,0.5238095238095238,0.6858506816752975
hospital,hospital,lgbm,42,tuned,none,none,vif_rfe,vif_rfe,64,0.9070425101916336,0.6543246510306403,0.0520581267353756,0.1848807061927594,0.0109562959902616,0.5,hospital_lgbm_none_vif_rfe_seed42.csv,0.5279503105590062,0.6875041576993095
hospital,hospital,lgbm,42,notuned,none,none,notuned,none,92,0.9051985998274146,0.6473742866911155,0.0525772798893306,0.186370327954018,0.0095596371523136,0.5,hospital_lgbm_notuned_seed42.csv,0.5238095238095238,0.6858506816752975
hospital,hospital,lgbm,42,tuned,platt,platt,none,none,92,0.9051985998274146,0.6473742866911155,0.0542247795635007,0.1987417248873129,0.0199334317917045,0.5,hospital_lgbm_platt_none_seed42.csv,0.5461613216715258,0.704070539877841
hospital,hospital,lgbm,42,tuned,platt,platt,vif_rfe,vif_rfe,64,0.9070425101916336,0.6543246510306403,0.0533009041125836,0.1955385926710207,0.0180299947431345,0.5,hospital_lgbm_platt_vif_rfe_seed42.csv,0.555984555984556,0.7093100608359247
hospital,hospital,lr,42,tuned,none,none,none,none,92,0.8813362166294855,0.572790990688103,0.1309507229917835,0.4181090795430132,0.229220137951862,0.5,hospital_lr_none_none_seed42.csv,0.4458818456231134,0.7982575374989342
hospital,hospital,lr,42,tuned,none,none,vif_rfe,vif_rfe,64,0.8822478654020389,0.5740140421697533,0.1313584309528195,0.4192664752635609,0.2302713024304854,0.5,hospital_lr_none_vif_rfe_seed42.csv,0.4476067270375162,0.7999110135229464
hospital,hospital,lr,42,notuned,none,none,notuned,vif_rfe,64,0.8822478654020389,0.5740140421697533,0.1313584309528195,0.4192664752635609,0.2302713024304854,0.5,hospital_lr_notuned_seed42.csv,0.4476067270375162,0.7999110135229464
hospital,hospital,lr,42,tuned,platt,platt,none,none,92,0.8813362166294855,0.572790990688103,0.0585944886922484,0.2075323216328083,0.0170736704629808,0.5,hospital_lr_platt_none_seed42.csv,0.4285714285714285,0.6422810379866148
hospital,hospital,lr,42,tuned,platt,platt,vif_rfe,vif_rfe,64,0.8822478654020389,0.5740140421697533,0.058489449779075,0.207075308613165,0.0162201369729934,0.5,hospital_lr_platt_vif_rfe_seed42.csv,0.4320175438596491,0.6437780439746388
hospital,hospital,rf,42,tuned,none,none,none,none,92,0.9052340866694089,0.6442132581989467,0.0588981665300893,0.2182594797672741,0.0693495128270275,0.5,hospital_rf_none_none_seed42.csv,0.5572519083969466,0.7116781926680202
hospital,hospital,rf,42,tuned,none,none,vif_rfe,vif_rfe,64,0.9041186520715416,0.6428275635160535,0.0581604194997852,0.2140597025407359,0.0636119381684335,0.5,hospital_rf_none_vif_rfe_seed42.csv,0.5658263305322129,0.7189729053862233
hospital,hospital,rf,42,notuned,none,none,notuned,vif_rfe,64,0.9041186520715416,0.6428275635160535,0.0581604194997852,0.2140597025407359,0.0636119381684335,0.5,hospital_rf_notuned_seed42.csv,0.5658263305322129,0.7189729053862233
hospital,hospital,rf,42,tuned,platt,platt,none,none,92,0.9052340866694089,0.6442132581989467,0.0604267958782352,0.361525437716952,0.0560254550269459,0.5,hospital_rf_platt_none_seed42.csv,0.5251509054325956,0.6902740052675123
hospital,hospital,rf,42,tuned,platt,platt,vif_rfe,vif_rfe,64,0.9041186520715416,0.6428275635160535,0.059596952843202,0.3383658436147687,0.0552633247885235,0.5,hospital_rf_platt_vif_rfe_seed42.csv,0.535183349851338,0.6965411221056557
hospital,hospital,xgb,42,tuned,none,none,none,none,92,0.9026722411849748,0.6370800290079949,0.0533481836019556,0.1883044413081492,0.0120118907768237,0.5,hospital_xgb_none_none_seed42.csv,0.521025641025641,0.6859733045253571
hospital,hospital,xgb,42,tuned,none,none,vif_rfe,vif_rfe,64,0.9058486063391916,0.6457337788702009,0.052535981240723,0.1856397317451826,0.0109177062261275,0.5,hospital_xgb_none_vif_rfe_seed42.csv,0.5292929292929293,0.6914136833514944
hospital,hospital,xgb,42,notuned,none,none,notuned,none,92,0.9026722411849748,0.6370800290079949,0.0533481836436752,0.1883044413081492,0.0120118907768237,0.5,hospital_xgb_notuned_seed42.csv,0.521025641025641,0.6859733045253571
hospital,hospital,xgb,42,tuned,platt,platt,none,none,92,0.9026724754215556,0.6370800290079948,0.055791366237475,0.2053770842113372,0.0234486176402119,0.5,hospital_xgb_platt_none_seed42.csv,0.5418250950570342,0.7055780865120018
hospital,hospital,xgb,42,tuned,platt,platt,vif_rfe,vif_rfe,64,0.9058486063391914,0.6457337788702008,0.0552622987619281,0.2023353373747871,0.0232184444315217,0.5,hospital_xgb_platt_vif_rfe_seed42.csv,0.5589600742804085,0.716850019254247
random,random,lgbm,42,tuned,none,none,none,none,92,0.8926857162981996,0.5795615695616941,0.0545379772371511,0.1926297962861983,0.0041983462270086,0.5,random_lgbm_none_none_seed42.csv,0.466743119266055,0.6639307054934951
random,random,lgbm,42,tuned,none,none,vif_rfe,vif_rfe,64,0.8916197873296507,0.5779691523934044,0.0546224689104319,0.1931852946789111,0.0052924177983104,0.5,random_lgbm_none_vif_rfe_seed42.csv,0.4651698330454807,0.6628451170419234
random,random,lgbm,42,notuned,none,none,notuned,none,92,0.8926857162981996,0.5795615695616941,0.0545379772371511,0.1926297962861984,0.0041983462270086,0.5,random_lgbm_notuned_seed42.csv,0.466743119266055,0.6639307054934951
random,random,lgbm,42,tuned,platt,platt,none,none,92,0.8926857162981996,0.5795615695616941,0.0576351451964831,0.2113334737389206,0.0218602528266787,0.5,random_lgbm_platt_none_seed42.csv,0.5027112121742172,0.690244597000379
random,random,lgbm,42,tuned,platt,platt,vif_rfe,vif_rfe,64,0.8916197873296507,0.5779691523934044,0.0575827761846413,0.2113222040507356,0.0210318627622833,0.5,random_lgbm_platt_vif_rfe_seed42.csv,0.5026325026325026,0.6897417538966686
random,random,lr,42,tuned,none,none,none,none,92,0.8707435463266833,0.5148914266678415,0.1421680482794707,0.448368370610899,0.2435989590869496,0.5,random_lr_none_none_seed42.csv,0.4077912532157295,0.7863219712582611
random,random,lr,42,tuned,none,none,vif_rfe,vif_rfe,64,0.8703827352045095,0.5150646058999224,0.1422871947689603,0.4485500128335911,0.2438273982971367,0.5,random_lr_none_vif_rfe_seed42.csv,0.4071785819358635,0.7855298854477841
random,random,lr,42,notuned,none,none,notuned,vif_rfe,64,0.8703827352045095,0.5150646058999224,0.1422871947689603,0.4485500128335911,0.2438273982971367,0.5,random_lr_notuned_seed42.csv,0.4071785819358635,0.7855298854477841
random,random,lr,42,tuned,platt,platt,none,none,92,0.8707435463266833,0.5148914266678415,0.0591256399137684,0.2096804044003367,0.0075735946784351,0.5,random_lr_platt_none_seed42.csv,0.4005607850991388,0.6334908815498227
random,random,lr,42,tuned,platt,platt,vif_rfe,vif_rfe,64,0.8703827352045095,0.5150646058999224,0.059108462265086,0.2097308602084171,0.0073252838770611,0.5,random_lr_platt_vif_rfe_seed42.csv,0.3986337150894113,0.6324894552767302
random,random,rf,42,tuned,none,none,none,none,92,0.8858478686633544,0.545969026819263,0.0630417822879741,0.2267902320816563,0.0647924379135499,0.5,random_rf_none_none_seed42.csv,0.4840828701364325,0.6872367492521633
random,random,rf,42,tuned,none,none,vif_rfe,vif_rfe,64,0.8838674092478891,0.539019470754586,0.0621335648453761,0.2217448318921563,0.055816728053552,0.5,random_rf_none_vif_rfe_seed42.csv,0.4704268815360877,0.6787446878675878
random,random,rf,42,notuned,none,none,notuned,vif_rfe,64,0.8838674092478891,0.539019470754586,0.0621335648453761,0.2217448318921563,0.055816728053552,0.5,random_rf_notuned_seed42.csv,0.4704268815360877,0.6787446878675878
random,random,rf,42,tuned,platt,platt,none,none,92,0.8858478686633544,0.545969026819263,0.0661875309573471,0.390859561844034,0.0605602471979819,0.5,random_rf_platt_none_seed42.csv,0.4503844745514463,0.6621588385842618
