scenario,model,seed,auprc_none,auprc_notuned,auprc_platt,auroc_none,auroc_notuned,auroc_platt,brier_none,brier_notuned,brier_platt,ece_none,ece_notuned,ece_platt,nll_none,nll_notuned,nll_platt,delta_auroc_none_minus_notuned,delta_auroc_platt_minus_notuned,delta_auprc_none_minus_notuned,delta_auprc_platt_minus_notuned,delta_brier_none_minus_notuned,delta_brier_platt_minus_notuned,delta_nll_none_minus_notuned,delta_nll_platt_minus_notuned,delta_ece_none_minus_notuned,delta_ece_platt_minus_notuned
hospital,lgbm,42,0.6473742866911155,0.6473742866911155,0.6473742866911155,0.9051985998274146,0.9051985998274146,0.9051985998274146,0.0525772798893306,0.0525772798893306,0.0542247795635007,0.0095596371523136,0.0095596371523136,0.0199334317917045,0.186370327954018,0.186370327954018,0.1987417248873129,0.0,0.0,0.0,0.0,0.0,0.0016474996741700984,0.0,0.012371396933294893,0.0,0.010373794639390898
hospital,lr,42,0.572790990688103,0.5740140421697533,0.572790990688103,0.8813362166294855,0.8822478654020389,0.8813362166294855,0.1309507229917835,0.1313584309528195,0.0585944886922484,0.229220137951862,0.2302713024304854,0.0170736704629808,0.4181090795430132,0.4192664752635609,0.2075323216328083,-0.0009116487725534528,-0.0009116487725534528,-0.0012230514816502502,-0.0012230514816502502,-0.00040770796103598017,-0.07276394226057109,-0.001157395720547738,-0.21173415363075263,-0.001051164478623412,-0.2131976319675046
hospital,rf,42,0.6442132581989467,0.6428275635160535,0.6442132581989467,0.9052340866694089,0.9041186520715416,0.9052340866694089,0.0588981665300893,0.0581604194997852,0.0604267958782352,0.0693495128270275,0.0636119381684335,0.0560254550269459,0.2182594797672741,0.2140597025407359,0.361525437716952,0.0011154345978672264,0.0011154345978672264,0.0013856946828931793,0.0013856946828931793,0.0007377470303041034,0.002266376378450001,0.0041997772265382205,0.1474657351762161,0.005737574658594008,-0.0075864831414875974
hospital,xgb,42,0.6370800290079949,0.6370800290079949,0.6370800290079948,0.9026722411849748,0.9026722411849748,0.9026724754215556,0.0533481836019556,0.0533481836436752,0.055791366237475,0.0120118907768237,0.0120118907768237,0.0234486176402119,0.1883044413081492,0.1883044413081492,0.2053770842113372,0.0,2.3423658079835263e-07,0.0,-1.1102230246251565e-16,-4.171959999688113e-11,0.002443182593799803,0.0,0.017072642903188023,0.0,0.011436726863388199
random,lgbm,42,0.5795615695616941,0.5795615695616941,0.5795615695616941,0.8926857162981996,0.8926857162981996,0.8926857162981996,0.0545379772371511,0.0545379772371511,0.0576351451964831,0.0041983462270086,0.0041983462270086,0.0218602528266787,0.1926297962861983,0.1926297962861984,0.2113334737389206,0.0,0.0,0.0,0.0,0.0,0.0030971679593320006,-8.326672684688674e-17,0.018703677452722223,0.0,0.017661906599670103
random,lr,42,0.5148914266678415,0.5150646058999224,0.5148914266678415,0.8707435463266833,0.8703827352045095,0.8707435463266833,0.1421680482794707,0.1422871947689603,0.0591256399137684,0.2435989590869496,0.2438273982971367,0.0075735946784351,0.448368370610899,0.4485500128335911,0.2096804044003367,0.0003608111221737875,0.0003608111221737875,-0.00017317923208093333,-0.00017317923208093333,-0.00011914648948960216,-0.08316155485519189,-0.00018164222269206887,-0.2388696084332544,-0.00022843921018711466,-0.2362538036187016
random,rf,42,0.545969026819263,0.539019470754586,0.545969026819263,0.8858478686633544,0.8838674092478891,0.8858478686633544,0.0630417822879741,0.0621335648453761,0.0661875309573471,0.0647924379135499,0.055816728053552,0.0605602471979819,0.2267902320816563,0.2217448318921563,0.390859561844034,0.001980459415465319,0.001980459415465319,0.006949556064676954,0.006949556064676954,0.0009082174425979958,0.004053966111971001,0.0050454001895000045,0.16911472995187768,0.008975709859997898,0.0047435191444299
random,xgb,42,0.5791759661402885,0.5791759661402885,0.5791731346692016,0.8927753647557379,0.8927753647557379,0.8927753647557378,0.0545825952927858,0.0545825953069679,0.0584617333916972,0.0051170785891072,0.0051170779808682,0.0259978093412194,0.1928060859009459,0.1928060859009459,0.2160179064745924,0.0,-1.1102230246251565e-16,0.0,-2.831471086928161e-06,-1.4182099938864212e-11,0.0038791380847292972,0.0,0.023211820573646513,6.082389999648163e-10,0.0208807313603512
temporal,lgbm,42,0.5708551989284247,0.5708551989284248,0.5708551989284247,0.8868497957738387,0.8868497957738387,0.8868497957738387,0.0556698554707784,0.0556698554707784,0.0604647187682299,0.0048178661472677,0.0048178661472677,0.032143663736352,0.1972541064541872,0.1972541064541872,0.2258516506941407,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.004794863297451497,0.0,0.028597544239953504,0.0,0.0273257975890843
temporal,lr,42,0.5167372232391128,0.5164437034064744,0.5167372232391128,0.867593207669789,0.8671906286549851,0.867593207669789,0.1431737574599278,0.1433506776933306,0.059586963309304,0.2426759280209428,0.2430545377308035,0.0054377704429838,0.4493817093122264,0.4498454410053449,0.2113690460863084,0.00040257901480389435,0.00040257901480389435,0.000293519832638367,0.000293519832638367,-0.00017692023340279417,-0.0837637143840266,-0.0004637316931185298,-0.2384763949190365,-0.00037860970986069997,-0.2376167672878197
temporal,rf,42,0.5324194660486958,0.5251924633453445,0.5324194660486958,0.8804856767918287,0.8786133071582012,0.8804856767918287,0.0646595919262347,0.0638819593509779,0.067866547836005,0.0653050354603454,0.0572000837750625,0.0618419894763413,0.2314308272771741,0.227208280581665,0.4140947517040932,0.0018723696336274687,0.0018723696336274687,0.007227002703351304,0.007227002703351304,0.0007776325752568009,0.003984588485027099,0.0042225466955090885,0.1868864711224282,0.008104951685282899,0.004641905701278801
temporal,xgb,42,0.570288499190542,0.5702884991905419,0.5702890570287027,0.8870180057090509,0.887018005709051,0.8870180133721244,0.0557406621324655,0.0557406620926135,0.0613783478799108,0.0069289562340083,0.0069289562340083,0.0359115927188102,0.1977206593071366,0.1977206593071366,0.2339470738042628,-1.1102230246251565e-16,7.663073398056497e-09,1.1102230246251565e-16,5.578381607751481e-07,3.98520036415384e-11,0.0056376857872973,0.0,0.036226414497126214,0.0,0.0289826364848019
