scenario,model,auroc_no_tune,ece_no_tune,brier_no_tune,nll_no_tune,auroc_tuned,ece_tuned,brier_tuned,nll_tuned,delta_auroc,delta_ece,delta_brier,delta_nll,calib_tuned,feat_select_tuned,n_features_tuned,file_no_tune,file_tuned
hospital,lgbm,0.9051985998274146,0.0095596371523136,0.0525772798893306,0.186370327954018,0.9051985998274146,0.0095596371523136,0.0525772798893306,0.186370327954018,0.0,0.0,0.0,0.0,none,none,92,hospital_lgbm_notuned_seed42.csv,hospital_lgbm_none_none_seed42.csv
hospital,lr,0.8813362166294855,0.229220137951862,0.1309507229917835,0.4181090795430132,0.8813362166294855,0.0170736704629808,0.0585944886922484,0.2075323216328083,0.0,-0.2121464674888812,-0.07235623429953511,-0.2105767579102049,platt,none,92,hospital_lr_notuned_seed42.csv,hospital_lr_platt_none_seed42.csv
hospital,rf,0.9052340866694089,0.0693495128270275,0.0588981665300893,0.2182594797672741,0.9052340866694089,0.0560254550269459,0.0604267958782352,0.361525437716952,0.0,-0.013324057800081605,0.0015286293481458976,0.1432659579496779,platt,none,92,hospital_rf_notuned_seed42.csv,hospital_rf_platt_none_seed42.csv
hospital,xgb,0.9026722411849748,0.0120118907768237,0.0533481836436752,0.1883044413081492,0.9026722411849748,0.0120118907768237,0.0533481836436752,0.1883044413081492,0.0,0.0,0.0,0.0,none,none,92,hospital_xgb_notuned_seed42.csv,hospital_xgb_none_none_seed42.csv
random,lgbm,0.8926857162981996,0.0041983462270086,0.0545379772371511,0.1926297962861984,0.8926857162981996,0.0041983462270086,0.0545379772371511,0.1926297962861984,0.0,0.0,0.0,0.0,none,none,92,random_lgbm_notuned_seed42.csv,random_lgbm_none_none_seed42.csv
random,lr,0.8707435463266833,0.2435989590869496,0.1421680482794707,0.448368370610899,0.8707435463266833,0.0075735946784351,0.0591256399137684,0.2096804044003367,0.0,-0.2360253644085145,-0.08304240836570229,-0.23868796621056232,platt,none,92,random_lr_notuned_seed42.csv,random_lr_platt_none_seed42.csv
random,rf,0.8858478686633544,0.0647924379135499,0.0630417822879741,0.2267902320816563,0.8858478686633544,0.0605602471979819,0.0661875309573471,0.390859561844034,0.0,-0.0042321907155679975,0.0031457486693730052,0.16406932976237767,platt,none,92,random_rf_notuned_seed42.csv,random_rf_platt_none_seed42.csv
random,xgb,0.8927753647557379,0.0051170779808682,0.0545825953069679,0.1928060859009459,0.8927753647557379,0.0051170779808682,0.0545825953069679,0.1928060859009459,0.0,0.0,0.0,0.0,none,none,92,random_xgb_notuned_seed42.csv,random_xgb_none_none_seed42.csv
temporal,lgbm,0.8868497957738387,0.0048178661472677,0.0556698554707784,0.1972541064541872,0.8868497957738387,0.0048178661472677,0.0556698554707784,0.1972541064541872,0.0,0.0,0.0,0.0,none,none,92,temporal_lgbm_notuned_seed42.csv,temporal_lgbm_none_none_seed42.csv
temporal,lr,0.8675932076697889,0.2426759280209428,0.1431737574599278,0.4493817093122264,0.8675932076697889,0.0054377704429838,0.059586963309304,0.2113690460863084,0.0,-0.237238157577959,-0.08358679415062381,-0.23801266322591796,platt,none,92,temporal_lr_notuned_seed42.csv,temporal_lr_platt_none_seed42.csv
temporal,rf,0.8804856767918287,0.0653050354603454,0.0646595919262347,0.2314308272771741,0.8804856767918287,0.0618419894763413,0.067866547836005,0.4140947517040932,0.0,-0.0034630459840040984,0.003206955909770298,0.18266392442691912,platt,none,92,temporal_rf_notuned_seed42.csv,temporal_rf_platt_none_seed42.csv
temporal,xgb,0.887018005709051,0.0069289562340083,0.0557406620926135,0.1977206593071366,0.887018005709051,0.0069289562340083,0.0557406620926135,0.1977206593071366,0.0,0.0,0.0,0.0,none,none,92,temporal_xgb_notuned_seed42.csv,temporal_xgb_none_none_seed42.csv
