scenario,model,seed,calib,feat,auroc,auprc,brier,nll,ece,tau,n_features,Htgt,feat_select,rfe_keep,missing_thresh,vif_thresh
hospital,lr,42,none,none,0.8813352796831623,0.5727905321374334,0.1309510534819183,0.4181100043784719,0.2292207513949313,0.4974874371859296,92,hospital,none,,0.4,
hospital,lr,42,platt,none,0.8813352796831623,0.5727905321374334,0.0585944639850372,0.2075322946959648,0.0170736683320726,0.0904522613065326,92,hospital,none,,0.4,
hospital,rf,42,none,none,0.9052340866694089,0.6442132581989467,0.0588981665300893,0.2182594797672741,0.0693495128270275,0.4723618090452261,92,hospital,none,,0.4,
hospital,rf,42,platt,none,0.9052340866694089,0.6442132581989467,0.0604267958782352,0.361525437716952,0.0560254550269459,0.1507537688442211,92,hospital,none,,0.4,
random,lr,42,none,none,0.8707435463266833,0.5148914266678414,0.1421680482794707,0.448368370610899,0.2435989590869496,0.4924623115577889,92,random,none,,0.4,
random,lr,42,platt,none,0.8707435463266833,0.5148914266678414,0.0591256399137684,0.2096804044003367,0.0075735946784351,0.0854271356783919,92,random,none,,0.4,
random,rf,42,none,none,0.8858478686633544,0.545969026819263,0.0630417822879741,0.2267902320816563,0.06479243791355,0.4773869346733668,92,random,none,,0.4,
random,rf,42,platt,none,0.8858478686633544,0.545969026819263,0.0661875309573471,0.390859561844034,0.0605602471979819,0.1708542713567839,92,random,none,,0.4,
temporal,lr,42,none,none,0.8675932076697889,0.5167372232391128,0.1431737574599278,0.4493817093122264,0.2426759280209428,0.4924623115577889,92,temporal,none,,0.4,
temporal,lr,42,platt,none,0.8675932076697889,0.5167372232391128,0.059586963309304,0.2113690460863084,0.0054377704429838,0.0904522613065326,92,temporal,none,,0.4,
temporal,rf,42,none,none,0.8804856767918287,0.5324194660486958,0.0646595919262347,0.2314308272771741,0.0653050354603454,0.4623115577889447,92,temporal,none,,0.4,
temporal,rf,42,platt,none,0.8804856767918287,0.5324194660486958,0.067866547836005,0.4140947517040932,0.0618419894763413,0.1155778894472361,92,temporal,none,,0.4,
