feature,type,KS,KS_p,JS,Wasserstein,chi2,chi2_p,KS_sig_FDR,CHI2_sig_FDR
unittype_Med-Surg ICU,cat,,,0.1383506024797575,,4745.998065196311,0.0,False,True
diagnosis_bucket_None,cat,,,0.10228359708373604,,6428.389145029427,0.0,False,True
unittype_CTICU,cat,,,0.05911745859360775,,6500.678374863425,0.0,False,True
diagnosis_bucket_OTHER,cat,,,0.041340590707102345,,1404.815725871686,1.887829916948182e-307,False,True
unittype_Cardiac ICU,cat,,,0.032935824658187396,,483.04592329649165,4.644745102883296e-107,False,True
unittype_Neuro ICU,cat,,,0.032923964155590284,,2136.216038045374,0.0,False,True
unittype_CCU-CTICU,cat,,,0.03130703470413617,,1973.0052495093962,0.0,False,True
systemicsystolic__missing,cat,,,0.028835038256052353,,1309.8848568210615,8.03729588122646e-287,False,True
systemicdiastolic__missing,cat,,,0.02880279344051642,,1308.3637873919943,1.7205127899154416e-286,False,True
creatinine,cont,0.1721474287704211,5.827014698955428e-177,0.028627983492250257,0.10310847908618584,,,True,False
systemicmean__missing,cat,,,0.028467708123616247,,1289.8308295045272,1.832870187243378e-282,False,True
systemicsystolic,cont,0.1259901134050596,1.0625260279068214e-94,0.02684184102208644,0.32204772034396023,,,True,False
unittype_CSICU,cat,,,0.025288491720208587,,367.13981360184374,7.851484695677599e-82,False,True
systemicdiastolic,cont,0.09913415322511676,1.0161032957043362e-58,0.024901520748090666,0.3280064521507763,,,True,False
systemicmean,cont,0.11144289375221761,3.922381315050692e-74,0.02303998282460286,0.24822974579955065,,,True,False
lactate__missing,cat,,,0.02243296129638729,,741.2662666978845,3.180126531632162e-163,False,True
lactate,cont,0.08144234332738165,9.57060012792971e-40,0.016468609285808004,0.12720146566806012,,,True,False
respiration,cont,0.12232378839651814,2.821585985493883e-89,0.012653878760991255,0.25544549964540975,,,True,False
spo2,cont,0.08645748329975961,9.604041543724898e-45,0.011075330032998251,0.13769631791872863,,,True,False
predictedhospitalmortality,cont,0.11606827592468083,2.1413453212488365e-80,0.010232713905819181,0.11869213896175274,,,True,False
