feature,type,KS,KS_p,JS,Wasserstein,chi2,chi2_p,KS_sig_FDR,CHI2_sig_FDR
age,cont,0.003468456104314954,0.8328480884768255,0.00015056711481677804,0.0045322038066049775,,,False,False
apachescore,cont,0.0031404514193181243,0.9081633029479632,0.000144261652109064,0.006490937037575356,,,False,False
predictedhospitalmortality,cont,0.0030971467124331076,0.916503053168945,0.00017663744861879266,0.004472888871303536,,,False,False
heartrate,cont,0.003481575151534244,0.8294498760140347,0.0001304774874513185,0.005209846715708665,,,False,False
systemicsystolic,cont,0.00477254749135525,0.45548890798749564,0.00017521675242977824,0.012727972449060763,,,False,False
systemicdiastolic,cont,0.002588297158242381,0.9820921816132814,0.00023051184604772214,0.009039871274412714,,,False,False
systemicmean,cont,0.002525918904309643,0.9861981703174929,0.0001477705273395231,0.007597854805538876,,,False,False
respiration,cont,0.003582723571038171,0.8024568389238971,0.00012907106010951784,0.006003347162041084,,,False,False
temperature,cont,0.0010389829945179618,0.9999999999999932,0.00012276833190309094,0.0047785114417729264,,,False,False
spo2,cont,0.006618718188347639,0.1191643915915771,0.00021245930629539038,0.008850146959639139,,,False,False
albumin,cont,0.004532719503599181,0.5223233704784156,0.00019850400877157855,0.007095901528643319,,,False,False
bun,cont,0.0045506536447037504,0.5171830893841461,0.0001173006660360549,0.010071498646735347,,,False,False
glucose,cont,0.004165972382965011,0.6309317120805499,0.00015657256066637227,0.0058959728217646435,,,False,False
lactate,cont,0.0024032337760316047,0.9922441521481096,0.00020443480460000492,0.008504612226795598,,,False,False
creatinine,cont,0.005169237828378193,0.3557391741720344,0.00015160041975255975,0.008151496515372482,,,False,False
age__missing,cat,,,3.769203627602775e-07,,0.01646131652984947,0.8979102497131247,False,False
apachescore__missing,cat,,,6.787687427538744e-06,,1.193264836139015,0.27467198803158743,False,False
predictedhospitalmortality__missing,cat,,,6.787687427538744e-06,,1.193264836139015,0.27467198803158743,False,False
heartrate__missing,cat,,,3.0236453268882227e-07,,0.04758247819160691,0.8273246423110909,False,False
systemicsystolic__missing,cat,,,1.417985628323931e-05,,2.5144780834768876,0.11280497518100818,False,False
systemicdiastolic__missing,cat,,,1.3761486511508433e-05,,2.4398616425175117,0.11828665846127803,False,False
