feature,type,KS,KS_p,JS,Wasserstein,chi2,chi2_p,KS_sig_FDR,CHI2_sig_FDR
systemicdiastolic,cont,0.002588297158242381,0.9820921816132814,0.00023051184604772214,0.009039871274412714,,,False,False
spo2,cont,0.006618718188347639,0.1191643915915771,0.00021245930629539038,0.008850146959639139,,,False,False
lactate,cont,0.0024032337760316047,0.9922441521481096,0.00020443480460000492,0.008504612226795598,,,False,False
albumin,cont,0.004532719503599181,0.5223233704784156,0.00019850400877157855,0.007095901528643319,,,False,False
predictedhospitalmortality,cont,0.0030971467124331076,0.916503053168945,0.00017663744861879266,0.004472888871303536,,,False,False
systemicsystolic,cont,0.00477254749135525,0.45548890798749564,0.00017521675242977824,0.012727972449060763,,,False,False
glucose,cont,0.004165972382965011,0.6309317120805499,0.00015657256066637227,0.0058959728217646435,,,False,False
creatinine,cont,0.005169237828378193,0.3557391741720344,0.00015160041975255975,0.008151496515372482,,,False,False
age,cont,0.003468456104314954,0.8328480884768255,0.00015056711481677804,0.0045322038066049775,,,False,False
systemicmean,cont,0.002525918904309643,0.9861981703174929,0.0001477705273395231,0.007597854805538876,,,False,False
apachescore,cont,0.0031404514193181243,0.9081633029479632,0.000144261652109064,0.006490937037575356,,,False,False
heartrate,cont,0.003481575151534244,0.8294498760140347,0.0001304774874513185,0.005209846715708665,,,False,False
respiration,cont,0.003582723571038171,0.8024568389238971,0.00012907106010951784,0.006003347162041084,,,False,False
temperature,cont,0.0010389829945179618,0.9999999999999932,0.00012276833190309094,0.0047785114417729264,,,False,False
bun,cont,0.0045506536447037504,0.5171830893841461,0.0001173006660360549,0.010071498646735347,,,False,False
diagnosis_bucket_cardiovascular|cardiac arrest|cardiac arrest,cat,,,3.3523463254726576e-05,,6.101520503036154,0.013506561866033651,False,False
diagnosis_bucket_cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (no ST elevation),cat,,,2.6637074117544726e-05,,4.440310499263134,0.035099863324322245,False,False
gender_Other,cat,,,2.489356219326123e-05,,0.9453603141464956,0.33090310796906297,False,False
diagnosis_bucket_pulmonary|respiratory failure|acute respiratory failure,cat,,,2.1102628732206508e-05,,3.6215321100181894,0.05703632468693929,False,False
diagnosis_bucket_renal|disorder of urinary tract / renal system infection|urinary tract infection,cat,,,1.7787171060502027e-05,,2.871895812558203,0.09013863317625377,False,False
