feature,KS,KL,p_chi2
spo2,0.006618718188347639,0.0007123378053092957,
creatinine,0.005169237828378193,0.0004233232915510435,
systemicsystolic,0.00477254749135525,0.0012663822918599669,
bun,0.0045506536447037504,0.001305501697232064,
albumin,0.004532719503599181,0.0015367819714470973,
diagnosis_bucket_OTHER,0.004347249932077357,3.814889456987217e-05,
albumin__missing,0.0042051299930316866,4.304044449838281e-05,
glucose,0.004165972382965011,0.0004421761242885715,
systemicmean__missing,0.0038258419710626435,4.06314029410236e-05,
systemicsystolic__missing,0.0037511725401158935,3.92420236463957e-05,
systemicdiastolic__missing,0.0036951634956933765,3.8085236413409884e-05,
respiration,0.003582723571038171,0.0013037342476968996,
lactate__missing,0.003505908245988898,2.6838545296357062e-05,
heartrate,0.003481575151534244,0.0006413462604753854,
age,0.003468456104314954,0.0004204126512635893,
apachescore__missing,0.0026900643115788103,1.8840621859742522e-05,
predictedhospitalmortality__missing,0.0026900643115788103,1.8840621859742522e-05,
systemicdiastolic,0.002588297158242381,0.0025586216449334388,
systemicmean,0.002525918904309643,0.0004255334046844118,
lactate,0.0024032337760316047,0.0005467563523851298,
unittype_CCU-CTICU,0.00223989548024639,3.5227574635755734e-05,
unittype_CSICU,0.001742807600756402,3.3836112665626156e-05,
diagnosis_bucket_pulmonary|respiratory_failure|acute_respiratory_failure,0.00171155627508357,5.915208170226933e-05,
unittype_SICU,0.0014869788214770807,1.920220391833801e-05,
temperature__missing,0.0013747361046759082,1.0756523606610547e-05,
glucose__missing,0.0012380805117667704,1.4463352824658745e-05,
unittype_MICU,0.0011518419664982016,8.402839845787768e-06,
diagnosis_bucket_cardiovascular|cardiac_arrest|cardiac_arrest,0.0011263671423630273,9.052429575153939e-05,
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|acute_coronary_syndrome|acute_myocardial_infarction_(no_ST_elevation),0.0011202400662978507,7.550283084358411e-05,
unittype_CTICU,0.0010702078295836692,1.8972072675991006e-05,
temperature,0.0010389829945179618,0.0012759333782095658,
diagnosis_bucket_endocrine|glucose_metabolism|DKA,0.000865125603919159,2.5796421173342535e-05,
diagnosis_bucket_pulmonary|disorders_of_the_airways|acute_COPD_exacerbation,0.0008400859383554948,4.033566536420976e-05,
spo2__missing,0.0008280393734400038,6.546859729456315e-06,
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|coronary_artery_disease,0.0008276479011329885,4.6252673484226494e-05,
diagnosis_bucket_None,0.0007787657595542674,2.552378947703795e-06,
unittype_Neuro_ICU,0.0007534607231707291,4.270483406774799e-06,
diagnosis_bucket_pulmonary|pulmonary_infections|pneumonia,0.0007528968295428262,1.5194730272806477e-05,
unittype_Med-Surg_ICU,0.0007316279702420658,1.0880236742901762e-06,
