feature,type,KS,KS_p,JS,Wasserstein,chi2,chi2_p,KS_sig_FDR,CHI2_sig_FDR
age,cont,0.006781456409361841,0.019863699287465383,0.0003225987962033834,0.010673544976175587,,,True,False
apachescore,cont,0.008966059386615821,0.000631713906829005,0.00018736373386289443,0.019832249659435988,,,True,False
predictedhospitalmortality,cont,0.009748682769751493,0.0001455400169644401,0.0001161957024524989,0.012439363256357226,,,True,False
heartrate,cont,0.0030218851541438108,0.748953917797437,6.387302694504746e-05,0.004174460944823414,,,False,False
systemicsystolic,cont,0.005094142093780674,0.1479967270000515,0.0001422818765067883,0.014148589219556716,,,True,False
systemicdiastolic,cont,0.005615982847319678,0.08453951610199373,0.00010898942230743049,0.009595877250057148,,,True,False
systemicmean,cont,0.0056191998301753365,0.08423382598976292,0.00016358369738400392,0.011759255027286938,,,True,False
respiration,cont,0.025979485117959333,8.358497976846819e-30,0.0005633496087574743,0.0218553057632067,,,True,False
temperature,cont,0.0034765837018512213,0.5788855751246862,0.00022492600109793486,0.024298935450899624,,,True,False
spo2,cont,0.013642383495909405,1.5802635491532662e-08,0.00021425419606895183,0.02283185949977088,,,True,False
albumin,cont,0.003720281309089135,0.4908677493298058,0.00014452634602686771,0.00488427249425577,,,True,False
bun,cont,0.004984804132412202,0.1652587856939456,0.00010219475809379856,0.005930412757655849,,,True,False
glucose,cont,0.009183910317086097,0.00042502011344742113,0.00015442891715126254,0.011191637393912126,,,True,False
lactate,cont,0.010022445337309782,8.460305302511378e-05,0.00017244328884842672,0.01460016134969541,,,True,False
creatinine,cont,0.005431687565446763,0.10367553015135,8.427343621798944e-05,0.007645589831750634,,,True,False
age__missing,cat,,,3.344856259845058e-05,,8.665515382293393,0.0032428827288028188,False,True
apachescore__missing,cat,,,1.2044931713626332e-05,,3.326526949935243,0.06817068452633314,False,True
predictedhospitalmortality__missing,cat,,,1.2044931713626332e-05,,3.326526949935243,0.06817068452633314,False,True
heartrate__missing,cat,,,2.011710049355837e-05,,5.529020166860395,0.018703576656510092,False,True
systemicsystolic__missing,cat,,,5.242022926759882e-05,,14.528306131861228,0.00013806932924377563,False,True
systemicdiastolic__missing,cat,,,5.2092235008551934e-05,,14.437254525849575,0.00014490717239604384,False,True
