feature,type,KS,KS_p,JS,Wasserstein,chi2,chi2_p,KS_sig_FDR,CHI2_sig_FDR
diagnosis_bucket_None,cat,,,0.006632319356457616,,1808.3559748914904,0.0,False,True
respiration__missing,cat,,,0.0020119463907597433,,553.2343909307582,2.4910497021298726e-122,False,True
diagnosis_bucket_OTHER,cat,,,0.000738386154405583,,205.0097839287896,1.6851968663761943e-46,False,True
respiration,cont,0.025979485117959333,8.358497976846819e-30,0.0005633496087574743,0.0218553057632067,,,True,False
age,cont,0.006781456409361841,0.019863699287465383,0.0003225987962033834,0.010673544976175587,,,True,False
temperature,cont,0.0034765837018512213,0.5788855751246862,0.00022492600109793486,0.024298935450899624,,,True,False
spo2,cont,0.013642383495909405,1.5802635491532662e-08,0.00021425419606895183,0.02283185949977088,,,True,False
apachescore,cont,0.008966059386615821,0.000631713906829005,0.00018736373386289443,0.019832249659435988,,,True,False
lactate,cont,0.010022445337309782,8.460305302511378e-05,0.00017244328884842672,0.01460016134969541,,,True,False
systemicmean,cont,0.0056191998301753365,0.08423382598976292,0.00016358369738400392,0.011759255027286938,,,True,False
unittype_CCU-CTICU,cat,,,0.00015933401776931924,,44.23280508642853,2.915541473989627e-11,False,True
diagnosis_bucket_endocrine|glucose metabolism|diabetes mellitus,cat,,,0.00015618918642622062,,43.29124781558403,4.716886473136324e-11,False,True
glucose,cont,0.009183910317086097,0.00042502011344742113,0.00015442891715126254,0.011191637393912126,,,True,False
albumin,cont,0.003720281309089135,0.4908677493298058,0.00014452634602686771,0.00488427249425577,,,True,False
systemicsystolic,cont,0.005094142093780674,0.1479967270000515,0.0001422818765067883,0.014148589219556716,,,True,False
unittype_CTICU,cat,,,0.00012106217513681036,,33.334388355718396,7.75982565639232e-09,False,True
lactate__missing,cat,,,0.00011922375732423615,,33.050891985708745,8.977785171977128e-09,False,True
predictedhospitalmortality,cont,0.009748682769751493,0.0001455400169644401,0.0001161957024524989,0.012439363256357226,,,True,False
diagnosis_bucket_pulmonary|disorders of the airways|COPD,cat,,,0.00011588092257786838,,32.01612299052118,1.528982986440628e-08,False,True
systemicdiastolic,cont,0.005615982847319678,0.08453951610199373,0.00010898942230743049,0.009595877250057148,,,True,False
