feature,KS,KL,p_chi2
diagnosis_bucket_None,0.06557125209855907,0.017273962519266536,
respiration__missing,0.03335143086035608,0.005354089671607495,
diagnosis_bucket_OTHER,0.03183567279716171,0.0020519305496296616,
respiration,0.025979485117959333,0.0016386654096394785,
spo2,0.013642383495909405,0.000585100099487269,
lactate__missing,0.012314105298036337,0.0003297210967081205,
lactate,0.010022445337309782,0.0004728304689597813,
glucose,0.009183910317086097,0.00042619207388440466,
unittype_CCU-CTICU,0.007890281695033696,0.00044894167763308984,
systemicmean__missing,0.007532266854344494,0.00015883649480508567,
systemicsystolic__missing,0.00720210964013096,0.00014586739148478474,
systemicdiastolic__missing,0.007179215582957865,0.00014495312263887016,
age,0.006781456409361841,0.000905480609063108,
unittype_MICU,0.006527620172909976,0.00027105287441922706,
unittype_Cardiac_ICU,0.005795869225814765,0.00028511057818097,
systemicmean,0.0056191998301753365,0.0004493699706425381,
systemicdiastolic,0.005615982847319678,0.0002887081113381162,
creatinine,0.005431687565446763,0.00022445432573737725,
temperature__missing,0.0051468029572204615,0.000152713841383551,
systemicsystolic,0.005094142093780674,0.0006610479475303553,
bun,0.004984804132412202,0.00029066561135013703,
albumin__missing,0.004693265222629139,5.390607377809761e-05,
glucose__missing,0.004657367772708754,0.0002044491472768025,
unittype_CTICU,0.004456951798071596,0.0003280221699442703,
albumin,0.003720281309089135,0.00039535668974633706,
spo2__missing,0.00367376848162293,0.00012694154539531202,
apachescore__missing,0.0035866813597487113,3.334618178649782e-05,
predictedhospitalmortality__missing,0.0035866813597487113,3.334618178649782e-05,
diagnosis_bucket_endocrine|glucose_metabolism|diabetes_mellitus,0.0035528415703383054,0.0004512180997003571,
gender_Female,0.0034967046281701997,2.4611163790692718e-05,
temperature,0.0034765837018512213,0.0015127361545646245,
bun__missing,0.0033253550959274625,0.00010893197747360037,
gender_Male,0.0032205761088104357,2.0872035645120874e-05,
heartrate,0.0030218851541438108,0.000820601038802505,
creatinine__missing,0.0029393783742284185,8.67979133882331e-05,
unittype_SICU,0.0022625511804564846,4.471235730054866e-05,
diagnosis_bucket_pulmonary|disorders_of_the_airways|COPD,0.0022299729802320867,0.0003376555541933714,
heartrate__missing,0.002134673701870149,5.5337608446404726e-05,
diagnosis_bucket_cardiovascular|shock_/_hypotension|hypotension,0.002076724281209308,0.00019328003477672587,
diagnosis_bucket_pulmonary|respiratory_failure|acute_respiratory_failure,0.0020635707182036223,8.436122870147554e-05,
diagnosis_bucket_cardiovascular|cardiac_surgery|s/p_CABG_<_7_days,0.0019707482055664194,0.00023641537000536035,
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|coronary_artery_disease,0.0017328645029923706,0.0002219993227399093,
diagnosis_bucket_cardiovascular|vascular_disorders|hypertension,0.001701919888828618,0.00011271114984665303,
diagnosis_bucket_neurologic|altered_mental_status_/_pain|change_in_mental_status,0.001587053356225665,8.030536668684899e-05,
unittype_Med-Surg_ICU,0.001529576907278729,4.756923410825526e-06,
diagnosis_bucket_gastrointestinal|GI_bleeding_/_PUD|upper_GI_bleeding,0.0013396297177777905,0.00011227495470222059,
diagnosis_bucket_hematology|bleeding_and_red_blood_cell_disorders|anemia,0.0012631084798766512,0.00015889540876680105,
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|acute_coronary_syndrome|acute_myocardial_infarction_(with_ST_elevation),0.001195699326782207,9.969627144538291e-05,
unittype_Neuro_ICU,0.0011733351887474042,1.0287561438831723e-05,
diagnosis_bucket_cardiovascular|post_vascular_surgery|s/p_cartoid_endarterectomy,0.0011726521178101468,0.00012895209211473435,
diagnosis_bucket_cardiovascular|arrhythmias|atrial_fibrillation,0.0010196886528320848,5.232907475764305e-05,
diagnosis_bucket_pulmonary|pulmonary_infections|pneumonia,0.0010034185848869503,2.7696901912703173e-05,
diagnosis_bucket_cardiovascular|ventricular_disorders|hypertension,0.0009819826998062053,6.0538771216633045e-05,
diagnosis_bucket_pulmonary|respiratory_failure|acute_respiratory_distress,0.0009774238249392608,3.3440505773290686e-05,
diagnosis_bucket_pulmonary|disorders_of_the_airways|asthma_/_bronchospasm,0.0009703614498676183,0.00014198407292189557,
diagnosis_bucket_pulmonary|respiratory_failure|hypoxemia,0.0009490151103875855,9.145605890787203e-05,
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|hyperlipidemia,0.0009240186695966823,0.00011337814431702298,
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|acute_coronary_syndrome,0.0008616383815425177,5.82570352519868e-05,
unittype_CSICU,0.0008003824324253062,7.0366996991760725e-06,
diagnosis_bucket_gastrointestinal|post-GI_surgery|s/p_exploratory_laparotomy,0.0007855502620969235,5.805167566617854e-05,
diagnosis_bucket_endocrine|glucose_metabolism|hyperglycemia,0.0007724181661831198,7.507586128881086e-05,
diagnosis_bucket_gastrointestinal|GI_bleeding_/_PUD|GI_bleeding,0.0007693701372912809,4.189545162863685e-05,
diagnosis_bucket_renal|disorder_of_kidney|acute_renal_failure,0.0007393399616105745,1.976031425714891e-05,
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|chest_pain,0.0007254149746831473,2.7896472279008997e-05,
diagnosis_bucket_endocrine|glucose_metabolism|DKA,0.0006764572839759175,1.5452814840605255e-05,
diagnosis_bucket_pulmonary|disorders_of_the_airways|acute_COPD_exacerbation,0.0005990860088673777,2.1239540699212445e-05,
diagnosis_bucket_gastrointestinal|abdominal/_general|abdominal_pain_/_tenderness,0.00044534058519107855,2.7210450920031354e-05,
diagnosis_bucket_toxicology|drug_overdose|drug_overdose-_general,0.0004301219078242102,2.8112589927393073e-05,
diagnosis_bucket_cardiovascular|chest_pain_/_ASHD|acute_coronary_syndrome|acute_myocardial_infarction_(no_ST_elevation),0.00041550530287659537,9.839302118982106e-06,
diagnosis_bucket_cardiovascular|shock_/_hypotension|septic_shock,0.0004121987744203359,2.0836485462558216e-05,
diagnosis_bucket_neurologic|disorders_of_vasculature|stroke,0.0003891300983563939,7.639573742129638e-06,
diagnosis_bucket_renal|disorder_of_kidney|chronic_kidney_disease,0.00033388672388745544,1.4479776457344893e-05,
