feature,type,ks,w,skl,js,pval,fdr_sig
age,cont,0.023337019644684265,0.044824281852946166,0.009943868803116419,0.002474033971112307,0.0011804789341381206,True
apachescore,cont,0.09248511769661899,0.1385181346132157,0.02539490652826607,0.006320257610919722,3.776358958331341e-51,True
predictedhospitalmortality,cont,0.11606827592468083,0.11869213896175274,0.028413639649592176,0.007073901629773141,2.1413453212488365e-80,True
heartrate,cont,0.06759051418451384,0.12917344261217786,0.016378648979931194,0.003492098555205254,1.689985124792906e-27,True
systemicsystolic,cont,0.1259901134050596,0.32204772034396023,0.08185497585988588,0.020086601810661457,1.0625260279068214e-94,True
systemicdiastolic,cont,0.09913415322511676,0.32800645215077634,0.07480200800302128,0.01837634860134455,1.0161032957043362e-58,True
systemicmean,cont,0.11144289375221761,0.24822974579955065,0.06862790911709181,0.016565743529379773,3.922381315050692e-74,True
respiration,cont,0.12232378839651814,0.2554454996454097,0.04350372639846119,0.010751177555998082,2.821585985493883e-89,True
temperature,cont,0.0400002061351975,0.13988420250275369,0.025301811666579844,0.00588639565667191,6.618369182110146e-10,True
spo2,cont,0.08645748329975961,0.1376963179187287,0.03592959438369071,0.008694037090742403,9.604041543724898e-45,True
albumin,cont,0.07173467373841969,0.15578074076364617,0.027861021908520744,0.006743027084548817,6.362032584673828e-31,True
bun,cont,0.02998744987515664,0.038552876639976114,0.004624197279895556,0.0011485266120475398,9.365819434316745e-06,True
glucose,cont,0.030131889246628463,0.09792158833565061,0.014589434465514995,0.002998333016390105,8.319804761347994e-06,True
lactate,cont,0.08144234332738165,0.12720146566806012,0.05339561877299004,0.01202907444969584,9.57060012792971e-40,True
creatinine,cont,0.1721474287704211,0.10310847908618583,0.07747798649316069,0.018642313198391415,5.827014698955428e-177,True
age__missing,cat,,,0.000211357233755029,4.974091265094016e-05,1.3689557575306607e-09,True
apachescore__missing,cat,,,0.013166209129862272,0.003281872506213715,0.0,True
predictedhospitalmortality__missing,cat,,,0.013166209129862272,0.003281872506213715,0.0,True
heartrate__missing,cat,,,0.006311303423366563,0.001554335821197848,1.8379963470481584e-269,True
systemicsystolic__missing,cat,,,0.08084177780977377,0.019986925468564738,0.0,True
systemicdiastolic__missing,cat,,,0.08075071015780601,0.019964575065588373,0.0,True
systemicmean__missing,cat,,,0.07979552487015747,0.019732311622931327,0.0,True
respiration__missing,cat,,,0.005986602554364711,0.0014922980325119527,6.829182489957437e-262,True
temperature__missing,cat,,,0.025205222306803898,0.006223760173921199,0.0,True
