feature,type,ks,w,skl,js,pval,fdr_sig
age,cont,0.003468456104314954,0.0045322038066049775,0.00048758977922397015,0.00012188257887101094,0.8328480884768255,False
apachescore,cont,0.0031404514193181243,0.0064909370375753565,0.0005523182794339369,0.0001376657570005313,0.9081633029479632,False
predictedhospitalmortality,cont,0.0030971467124331076,0.004472888871303536,0.00033822706666441886,8.451482799808069e-05,0.916503053168945,False
heartrate,cont,0.003481575151534244,0.005209846715708663,0.00032600657494451165,8.132144899845458e-05,0.8294498760140347,False
systemicsystolic,cont,0.00477254749135525,0.012727972449060761,0.0006051452937351513,0.00015104820011476274,0.45548890798749564,False
systemicdiastolic,cont,0.002588297158242381,0.009039871274412713,0.0004675710837295969,0.00011650109434029545,0.9820921816132814,False
systemicmean,cont,0.002525918904309643,0.007597854805538876,0.0004794662534512008,0.00011959557814096006,0.9861981703174929,False
respiration,cont,0.003582723571038171,0.0060033471620410854,0.0005114730027857252,0.00012713238006809225,0.8024568389238971,False
temperature,cont,0.0010389829945179618,0.0047785114417729264,0.00034662766293811447,8.590856166618404e-05,0.9999999999999932,False
spo2,cont,0.006618718188347639,0.008850146959639139,0.0004059638170002153,9.918168344383795e-05,0.1191643915915771,False
albumin,cont,0.004532719503599181,0.007095901528643319,0.0007308226842727232,0.00018260445840126985,0.5223233704784156,False
bun,cont,0.0045506536447037504,0.010071498646735347,0.00022886437841920118,5.695376245922257e-05,0.5171830893841461,False
glucose,cont,0.004165972382965011,0.0058959728217646435,0.00048183556175256136,0.00012020162792969694,0.6309317120805499,False
lactate,cont,0.0024032337760316047,0.008504612226795598,0.000601528064231946,0.00014869052751266602,0.9922441521481096,False
creatinine,cont,0.005169237828378193,0.008151496515372484,0.0005212169752517079,0.0001299929984660567,0.3557391741720344,False
age__missing,cat,,,1.0452188020910789e-06,2.612612832900442e-07,0.7003697427348174,False
apachescore__missing,cat,,,1.881952997826288e-05,4.704866402641811e-06,0.05230247329349325,False
predictedhospitalmortality__missing,cat,,,1.881952997826288e-05,4.704866402641811e-06,0.05230247329349325,False
heartrate__missing,cat,,,8.383335627059881e-07,2.0958312311332406e-07,0.6872860471957742,False
systemicsystolic__missing,cat,,,3.931524155252673e-05,9.828727403915992e-06,0.0050102388053912044,True
systemicdiastolic__missing,cat,,,3.815525499691855e-05,9.538735576271459e-06,0.005699105202871667,True
systemicmean__missing,cat,,,4.070791872598273e-05,1.0176891585754748e-05,0.004293919721615434,True
respiration__missing,cat,,,1.670175015442896e-06,4.1754338332800436e-07,0.5658185113956584,False
temperature__missing,cat,,,1.0779224919831498e-05,2.694786132770722e-06,0.14262389028665243,False
spo2__missing,cat,,,6.531593772226478e-06,1.6328844545467384e-06,0.25491247454571214,False
albumin__missing,cat,,,4.310283458601027e-05,1.0775636384503014e-05,0.003294055508363452,True
bun__missing,cat,,,4.22171735658288e-06,1.0554232909929916e-06,0.3608072809999392,False
glucose__missing,cat,,,1.451371896075103e-05,3.6283604169832996e-06,0.08903683555623923,False
lactate__missing,cat,,,2.6818799396584152e-05,6.704679571691735e-06,0.020468646770007957,False
creatinine__missing,cat,,,1.2245726023099959e-06,3.0614266880876707e-07,0.624942526023833,False
gender_Female,cat,,,2.492418046248432e-07,6.23104509808411e-08,0.8254190235488417,False
gender_Male,cat,,,1.2185621125961488e-07,3.0464053163298537e-08,0.8781755755819107,False
gender_Other,cat,,,0.0002119184336251713,1.724990287808425e-05,0.004426003648232912,True
gender_Unknown,cat,,,2.9447536718153416e-06,7.351367874136287e-07,0.5188705076031275,False
gender_None,cat,,,4.701936485635649e-07,1.1754321976476943e-07,0.8057987765033919,False
unittype_CCU-CTICU,cat,,,3.538528652531495e-05,8.846033011703034e-06,0.00781480503258242,True
unittype_CSICU,cat,,,3.3640181159175155e-05,8.409595510576148e-06,0.00954625954844722,True
unittype_CTICU,cat,,,1.907841029350789e-05,4.769374203207057e-06,0.05137103481690136,False
unittype_Cardiac ICU,cat,,,1.4987758875258095e-06,3.7469336386207345e-07,0.5877308080169414,False
unittype_MICU,cat,,,8.386012556911549e-06,2.0964892365626e-06,0.19627806522429495,False
unittype_Med-Surg ICU,cat,,,1.0880921240005942e-06,2.7202301030305434e-07,0.6424218327772531,False
unittype_Neuro ICU,cat,,,4.263594302458384e-06,1.0658941620465877e-06,0.35794387768348157,False
unittype_SICU,cat,,,1.9275311529705266e-05,4.818716897394876e-06,0.049877863044916315,False
diagnosis_bucket_None,cat,,,2.5503627069320693e-06,6.375899844682903e-07,0.47699171116793126,False
diagnosis_bucket_OTHER,cat,,,3.815977427723376e-05,9.539912263508473e-06,0.005686246313623382,True
diagnosis_bucket_cardiovascular|arrhythmias|atrial fibrillation,cat,,,1.1253552183373782e-05,2.813133375802117e-06,0.13688387666066748,False
diagnosis_bucket_cardiovascular|arrhythmias|atrial fibrillation|with rapid ventricular response,cat,,,9.107556788355635e-07,2.2768736841736223e-07,0.6807661153826614,False
